"id_fonte","numero_pubblicazione","tipo_atto","numero_atto","data_atto","oggetto","data_pubblicazione","data_scadenza","url_documento","allegati"
"1","1308/2023","Determine Dirigenziali","","2023-12-18","Liquidazione di spesa - Lavori per la pulizia dell’area adiacente al Cimitero Comunale.-","2023-12-18","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=18101257&sez=&data1=18/12/2023&data2=02/01/2024","allegati/fonte1/1308/2023/- Det_n°841_del_14.12.2023.pdf"
"1","1307/2023","Determine Dirigenziali","","2023-12-18","Impegno di spesa - Lavori di esumazione salme presso il cimitero comunale - Ditta Stilo Edil.-","2023-12-18","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=18091219&sez=&data1=18/12/2023&data2=02/01/2024","allegati/fonte1/1307/2023/- DET.N.821_23.pdf"
"1","1306/2023","Determine Dirigenziali","","2023-12-18","Liquidazione di spesa - Interventi di manutenzione straordinaria per la riparazione del gruppo pompe gemellare della centrale termica presso la Scuola Secondaria di I grado a Squillace in via Damiano Assanti.-","2023-12-18","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=18091204&sez=&data1=18/12/2023&data2=02/01/2024","allegati/fonte1/1306/2023/- Det_n°839_del_14.12.2023.pdf"
"1","1305/2023","Ordinanze","","2023-12-18","Istituzione di divieto di sosta e chiusura al traffico veicolare Piazza Duomo per il giorno 18 dicembre 2023.-","2023-12-18","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=18091235&sez=&data1=18/12/2023&data2=02/01/2024","allegati/fonte1/1305/2023/- ORD.N.45_2023 .pdf"
"1","1304/2023","Determine Dirigenziali","","2023-12-18","Liquidazione di spesa - Servizio di manutenzione ordinaria dell’automezzo comunale Piaggio Quargo .-","2023-12-18","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=18091249&sez=&data1=18/12/2023&data2=02/01/2024","allegati/fonte1/1304/2023/- Det_n°838_del_14.12.2023.pdf"
"1","1303/2023","Ordinanze","","2023-12-18","Istituzione di divieto di sosta e chiusura al traffico veicolare Piazza Duomo per il giorno 17 dicembre 2023","2023-12-18","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=18091224&sez=&data1=18/12/2023&data2=02/01/2024","allegati/fonte1/1303/2023/- ORD.N.44_23 .pdf"
"1","1302/2023","Determine Dirigenziali","","2023-12-14","Agenzia delle Entrate avvisi: 517-002; 438-0-002; 1984-0-003; 691-0-002; determinazione.-","2023-12-14","2023-12-29","http://albosquillace.asmenet.it/allegati.php?id_doc=14121213&sez=&data1=14/12/2023&data2=29/12/2023","allegati/fonte1/1302/2023/- Det_n°837_del_14.12.2023.pdf"
"1","1301/2023","avvisi vari","","2023-12-14","Attività di pupplicazione degli elenchi di particelle oggetto di variabili colturali .......","2023-12-14","2024-02-12","http://albosquillace.asmenet.it/allegati.php?id_doc=14121227&sez=&data1=14/12/2023&data2=12/02/2024","allegati/fonte1/1301/2023/- prot. n. 7279.pdf"
"1","1300/2023","Determine Dirigenziali","","2023-12-14","Riqualificazione Piazza Duomo. Avvenuta efficacia dell'aggiudicazione.-","2023-12-14","2023-12-29","http://albosquillace.asmenet.it/allegati.php?id_doc=14121206&sez=&data1=14/12/2023&data2=29/12/2023","allegati/fonte1/1300/2023/- Det_n° 836_del_13.12.2023.pdf,allegati/fonte1/1300/2023/- Attestazione avvenuta efficacia aggiudicazione.pdf"
"1","1299/2023","Bandi di gara - Esiti gare e appalti","","2023-12-14","Riqualificazione Piazza Duomo. Attestazione avvenuta efficacia aggiudicazione.-","2023-12-14","2023-12-29","http://albosquillace.asmenet.it/allegati.php?id_doc=14111212&sez=&data1=14/12/2023&data2=29/12/2023","allegati/fonte1/1299/2023/- Attestazione avvenuta efficacia aggiudicazione.pdf"
"1","1298/2023","Delibere di giunta","","2023-12-14","Adesione al Progetto ""P.C.T.O. - Percorsi e competenze trasversali per  l'orientamento ex alternanza scuola lavoro"" proposto dall'Istituto Tecnico Tecnologico di Soverato. Anno scolastico 2023/2024.-","2023-12-14","2023-12-29","http://albosquillace.asmenet.it/allegati.php?id_doc=14111232&sez=&data1=14/12/2023&data2=29/12/2023","allegati/fonte1/1298/2023/- Del_G.C._n°92_del_27.10.2023.pdf"
"1","1297/2023","Determine Dirigenziali","","2023-12-14","Conferenza di Servizi decisoria ex art. 14, c. 2 e art. 14 bis della Legge n° 241/1990.  Forma semplificata modalità asincrona per una “Richiesta di SCIA ai sensi dell’art.45 (ex art.87-bis) del D.Lgs. 259/2003 e s.m.i., per l'installazione di SRB Vodafone Italia SpA su infrastruttura preesistente di proprietà Inwit S.p.A., esistente c/o Bivio Squillace, Fg.33 P.lla 95.","2023-12-14","2024-01-13","http://albosquillace.asmenet.it/allegati.php?id_doc=14111225&sez=&data1=14/12/2023&data2=13/01/2024","allegati/fonte1/1297/2023/- DET.N. 835_23.pdf,allegati/fonte1/1297/2023/- Verbale n. 1.pdf"
"1","1296/2023","Determine Dirigenziali","","2023-12-14","Rettifica concessione ""Bonus maternità"" - Determinazioni -.","2023-12-14","2023-12-24","http://albosquillace.asmenet.it/allegati.php?id_doc=14101240&sez=&data1=14/12/2023&data2=24/12/2023","allegati/fonte1/1296/2023/- Det. n. 793_23.pdf"
