tipo,oggetto,numero_atto,data_atto,doc_principale_url,allegati,data_atto_normalizzata
"42

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Progetto per la riqualificazione del Waterfront di Squillace Lido ""Lungomare Ulisse"" - Approvazione Progetto di Fattibilità Tecnico-economica -.",9,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8404,"allegati/fonte2/9/Delibera_n_9_Documento_Principale.pdf,allegati/fonte2/9/Del. G.C. n. 9_25.pdf",2025-01-02
"28

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Variazione di bilancio adottata in via d'urgenza dalla G.C.  con deliberazione n. 132 del 17.10.2024 .......,33,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8374,"allegati/fonte2/33/Delibera_n_33_Documento_Principale.pdf,allegati/fonte2/33/Del. C.C. n. 33_24.pdf,allegati/fonte2/33/Allegato - All.B del C. C. n. 33_24.pdf,allegati/fonte2/33/Allegato - All. A Del C.C. n. 33_24.pdf",2024-12-28
"27

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Comunicazione del prelevamento del fondo di riserva  .....,37,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8373,"allegati/fonte2/37/Delibera_n_37_Documento_Principale.pdf,allegati/fonte2/37/Del. C. C. n. 37_24.pdf",2024-12-28
"26

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Variazione di bilancio di previsione  2024/2026. Ratifica .....,36,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8372,"allegati/fonte2/36/Delibera_n_36_Documento_Principale.pdf,allegati/fonte2/36/Del. C. C. n. 36_24.pdf",2024-12-28
"25

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Variazione di bilancio di previsione 2024/2026. Ratifica ......,35,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8371,"allegati/fonte2/35/Delibera_n_35_Documento_Principale.pdf,allegati/fonte2/35/Del.  C. C. n. 35_24.pdf",2024-12-28
"24

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Variazione di bilancio di previsione 2024/2026 .... Ratifica .....,34,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8370,"allegati/fonte2/34/Delibera_n_34_Documento_Principale.pdf,allegati/fonte2/34/Del. C.C. n. 34_24.pdf",2024-12-28
"23

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Ricognizione periodica delle partecipazioni pubbliche ....Approvazione -.,42,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8369,"allegati/fonte2/42/Delibera_n_42_Documento_Principale.pdf,allegati/fonte2/42/Del.C.C. n. 42_24.pdf",2024-12-28
"22

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Approvazione della nota di aggiornamento al DUP ........Periodo 2025/2027 ....,46,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8368,"allegati/fonte2/46/Delibera_n_46_Documento_Principale.pdf,allegati/fonte2/46/Del. C.C. n. 46_24.pdf",2024-12-28
"1285

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Approvazione dello schema di bilancio di previsione finanziario 2025/2027 ...,163,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8338,"allegati/fonte2/163/Delibera_n_163_Documento_Principale.pdf,allegati/fonte2/163/Del. G. C. n. 163_24.pdf",2024-12-28
"1284

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Quantificazione delle somme impignorabili per il primo semestre dell'anno 2025 ....,8,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8335,"allegati/fonte2/8/Delibera_n_8_Documento_Principale.pdf,allegati/fonte2/8/Del. G.C. n. 8_25.pdf",2025-01-02
